Rank,Route_ID,Zone_ID,Location,Score,Households,Conversion_Rate,Saturation,Freshness,Daily_kWh,Expected_Closes,Latitude,Longitude,Priority
51,1158,76,Alexandria,83.5,150,40%,5%,95%,576000,60.0,38.8128,-77.0511,FRESH
52,1159,76,Alexandria,83.5,150,40%,5%,95%,576000,60.0,38.8128,-77.0511,FRESH
53,1160,76,Alexandria,83.5,150,40%,5%,95%,576000,60.0,38.8128,-77.0511,FRESH
54,1163,79,Arlington,83.3,150,40%,5%,95%,576000,60.0,38.8610,-77.0596,FRESH
55,1164,79,Arlington,83.3,150,40%,5%,95%,576000,60.0,38.8610,-77.0596,FRESH
56,1165,79,Arlington,83.3,150,40%,5%,95%,576000,60.0,38.8610,-77.0596,FRESH
57,453,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
58,454,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
59,455,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
60,456,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
61,457,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
62,458,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
63,459,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
64,460,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
65,461,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
66,462,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
67,463,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
68,464,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
69,465,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
70,466,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
71,467,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
72,468,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
73,469,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
74,470,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
75,471,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
76,472,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
77,473,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
78,474,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
79,475,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
80,476,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
81,477,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
82,478,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
83,479,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
84,480,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
85,481,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
86,482,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
87,483,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
88,484,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
89,485,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
90,486,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
91,487,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
92,488,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
93,489,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
94,490,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
95,491,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
96,492,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
97,493,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
98,494,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
99,495,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
100,496,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
101,497,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
102,498,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
103,499,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
104,500,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
105,501,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
106,502,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
107,503,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
108,504,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
109,505,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
110,506,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
111,507,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
112,508,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
113,509,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
114,510,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
115,511,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
116,512,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
117,513,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
118,514,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
119,515,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
120,516,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
121,517,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
122,518,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
123,519,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
124,520,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
125,521,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
126,522,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
127,523,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
128,524,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
129,525,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
130,526,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
131,527,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
132,528,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
133,529,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
134,530,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
135,531,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
136,532,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
137,533,6,Arlington,82.6,150,40%,5%,95%,576000,60.0,38.8342,-77.1242,FRESH
138,1412,221,Arlington,82.2,150,40%,5%,95%,576000,60.0,38.8997,-77.2036,FRESH
139,1476,272,Ashland,81.7,150,45%,5%,95%,648000,67.5,37.6878,-77.5348,FRESH
140,1477,272,Ashland,81.7,150,45%,5%,95%,648000,67.5,37.6878,-77.5348,FRESH
141,856,22,Arlington,81.6,150,40%,5%,95%,576000,60.0,38.8429,-77.0719,FRESH
142,857,22,Arlington,81.6,150,40%,5%,95%,576000,60.0,38.8429,-77.0719,FRESH
143,858,22,Arlington,81.6,150,40%,5%,95%,576000,60.0,38.8429,-77.0719,FRESH
144,859,22,Arlington,81.6,150,40%,5%,95%,576000,60.0,38.8429,-77.0719,FRESH
145,860,22,Arlington,81.6,150,40%,5%,95%,576000,60.0,38.8429,-77.0719,FRESH
146,861,22,Arlington,81.6,150,40%,5%,95%,576000,60.0,38.8429,-77.0719,FRESH
147,862,22,Arlington,81.6,150,40%,5%,95%,576000,60.0,38.8429,-77.0719,FRESH
148,863,22,Arlington,81.6,150,40%,5%,95%,576000,60.0,38.8429,-77.0719,FRESH
