Rank,Zone_ID,Location,Score,Daily_kWh,Census_Blocks,LMI_Pct,Qualifying_Households,Area_km2,Latitude,Longitude,Tier
166,225,Norfolk,43.0,48000,1,52%,261,0.44,36.8336,-76.1710,Tier3
167,276,Henrico,43.0,48000,1,56%,282,0.78,37.5524,-77.3588,Tier3
168,10,Newport News,42.8,48000,18,67%,5995,18.49,37.1432,-76.5294,Tier3
169,93,Rural (38.50°N),42.7,48000,2,62%,618,14.16,38.4989,-78.0088,Tier3
170,223,Fredericksburg,42.5,48000,1,74%,371,11.51,38.2539,-77.1693,Tier3
171,1,Richmond,42.3,48000,216,74%,79995,222.21,37.5028,-77.4391,Tier3
172,263,Rural (38.41°N),42.2,48000,1,61%,306,3.25,38.4081,-78.8521,Tier3
173,219,Arlington,42.1,48000,1,56%,278,0.82,38.8216,-77.1800,Tier3
174,52,Henrico,42.0,48000,3,58%,866,13.43,37.5813,-77.3271,Tier3
175,167,Rural (38.15°N),41.8,48000,1,54%,270,0.69,38.1537,-79.0800,Tier3
176,196,Rural (38.34°N),41.6,48000,1,72%,359,10.69,38.3397,-77.0324,Tier3
177,147,Herndon,41.5,48000,1,53%,266,0.65,38.9582,-77.3963,Tier3
178,252,Richmond,41.3,48000,1,57%,286,1.84,37.4252,-77.5032,Tier3
179,232,Chesapeake,41.2,48000,1,52%,262,0.62,36.7891,-76.2761,Tier3
180,175,Fairfax,41.2,48000,1,51%,256,0.53,38.6873,-77.2963,Tier3
181,20,Rural (38.06°N),41.1,48000,8,71%,2832,20.15,38.0614,-78.8911,Tier3
182,289,Virginia Beach,40.8,48000,1,52%,262,0.67,36.7697,-76.0249,Tier3
183,140,Fredericksburg,40.7,48000,1,58%,290,2.74,38.3519,-77.4971,Tier3
184,261,Manassas,40.6,48000,1,52%,260,0.65,38.8438,-77.4419,Tier3
185,285,Rural (37.31°N),40.6,48000,1,55%,274,1.19,37.3120,-76.7842,Tier3
186,224,Richmond,40.6,48000,1,52%,262,0.71,37.5219,-77.6011,Tier3
187,155,Fairfax,40.4,48000,1,53%,266,0.84,38.6799,-77.2634,Tier3
188,115,Rural (37.32°N),40.4,48000,2,73%,732,20.94,37.3241,-76.7247,Tier3
189,242,Fairfax,40.4,48000,1,54%,272,1.12,38.8807,-77.2052,Tier3
190,267,Rural (38.88°N),40.3,48000,1,70%,348,10.40,38.8836,-78.4836,Tier3
191,3,Hampton,40.3,48000,68,70%,23648,75.87,37.0091,-76.3945,Tier3
192,151,Manassas,40.2,48000,1,54%,268,0.96,38.6748,-77.3604,Tier3
193,18,Manassas,40.2,48000,9,75%,3394,143.56,38.5268,-77.4430,Tier3
194,12,Suffolk,40.0,48000,16,72%,5784,35.88,36.7292,-76.5500,Tier3
195,68,Rural (36.99°N),40.0,48000,3,75%,1128,86.59,36.9925,-77.0593,Tier3
196,126,Portsmouth,39.7,48000,1,52%,262,0.86,36.8475,-76.4304,Tier3
197,33,Fredericksburg,39.6,48000,5,74%,1848,55.30,38.1601,-77.5916,Tier3
198,4,Norfolk,39.5,48000,45,68%,15215,49.09,36.9299,-76.2911,Tier3
199,174,Henrico,39.5,48000,1,54%,268,1.28,37.6142,-77.3492,Tier3
200,13,Hopewell,39.4,48000,15,71%,5310,33.85,37.2637,-77.3012,Tier3
201,5,Colonial Heights,39.3,48000,41,72%,14735,148.40,37.1999,-77.4413,Tier3
202,101,Rural (37.17°N),39.3,48000,2,73%,731,23.56,37.1726,-78.1393,Tier3
203,240,Richmond,39.0,48000,1,52%,258,0.93,37.4803,-77.5658,Tier3
204,70,Rural (37.09°N),38.7,48000,3,72%,1074,28.38,37.0925,-79.2918,Tier3
205,25,Rural (37.41°N),38.7,48000,6,72%,2157,133.75,37.4121,-78.4291,Tier3
206,14,Fredericksburg,38.5,48000,12,65%,3923,21.10,38.2720,-77.4568,Tier3
207,166,Fairfax,38.1,48000,1,53%,264,2.05,38.8308,-77.3099,Tier3
208,244,Rural (38.06°N),37.0,48000,1,51%,255,1.74,38.0618,-78.9260,Tier3
209,275,Ashland,36.9,48000,1,52%,258,2.18,37.6601,-77.6284,Tier3
210,36,Rural (38.50°N),36.7,48000,4,67%,1344,217.82,38.4986,-77.8433,Tier3
211,278,Charlottesville,36.4,48000,1,55%,277,4.64,38.0857,-78.7087,Tier3
212,206,Rural (37.64°N),36.4,48000,1,58%,292,6.69,37.6373,-79.4506,Tier3
213,31,Charlottesville,36.1,48000,5,66%,1642,175.48,37.9211,-78.4973,Tier3
214,71,Charlottesville,36.0,48000,2,66%,656,147.07,38.2851,-78.5378,Tier3
215,157,Rural (37.27°N),35.8,48000,1,80%,400,42.53,37.2667,-78.5706,Tier3
216,63,Rural (38.08°N),35.7,48000,3,65%,973,108.63,38.0783,-76.6069,Tier3
217,274,Ashland,35.5,48000,1,52%,258,3.11,37.6669,-77.4427,Tier3
218,200,Rural (38.17°N),35.3,48000,1,64%,320,11.55,38.1659,-78.8361,Tier3
219,84,Rural (38.87°N),35.2,48000,2,63%,632,26.60,38.8697,-78.5636,Tier3
220,60,Rural (36.78°N),35.2,48000,3,63%,952,91.96,36.7834,-79.0189,Tier3
221,102,Rural (38.11°N),35.1,48000,2,63%,633,167.67,38.1058,-79.3378,Tier3
222,58,Rural (38.47°N),34.9,48000,3,63%,940,86.85,38.4725,-78.7821,Tier3
223,16,Rural (38.01°N),34.6,48000,10,62%,3104,523.86,38.0052,-79.2411,Tier3
224,82,Rural (37.43°N),34.5,48000,2,62%,620,223.61,37.4292,-78.0102,Tier3
225,255,Newport News,34.5,48000,1,54%,272,5.72,37.3176,-76.5225,Tier3
226,146,Manassas,34.3,48000,1,52%,262,4.55,38.8089,-77.5846,Tier3
227,21,Rural (36.84°N),34.3,48000,8,61%,2457,535.75,36.8399,-77.3470,Tier3
228,199,Suffolk,34.0,48000,1,64%,320,12.78,36.8626,-76.5805,Tier3
229,29,Rural (36.70°N),33.9,48000,6,60%,1812,248.63,36.6970,-78.1501,Tier3
230,55,Danville,33.7,48000,3,60%,901,199.42,36.6317,-79.0997,Tier3
231,182,Rural (38.27°N),33.7,48000,1,60%,302,10.47,38.2659,-78.8018,Tier3
232,256,Fredericksburg,33.4,48000,1,52%,260,5.29,38.2992,-77.5345,Tier3
233,61,Rural (36.99°N),33.3,48000,3,59%,886,361.88,36.9902,-77.6534,Tier3
234,103,Rural (36.58°N),33.1,48000,2,59%,586,158.96,36.5794,-78.8529,Tier3
235,116,Alexandria,33.1,48000,2,58%,580,22.42,38.6919,-77.1567,Tier3
236,92,Rural (38.14°N),33.1,48000,2,58%,584,85.00,38.1359,-78.1143,Tier3
237,96,Rural (37.19°N),32.7,48000,2,58%,576,168.78,37.1888,-76.9043,Tier3
238,50,Rural (37.29°N),32.7,48000,3,58%,864,163.49,37.2876,-78.8100,Tier3
239,43,Suffolk,32.6,48000,4,57%,1140,60.46,36.7126,-76.8465,Tier3
240,131,Rural (38.41°N),32.2,48000,1,51%,255,5.68,38.4118,-78.6176,Tier3
241,37,Rural (37.00°N),32.1,48000,4,56%,1119,211.45,37.0015,-79.3817,Tier3
242,53,Rural (37.80°N),31.9,48000,3,56%,834,167.73,37.7957,-76.4382,Tier3
243,39,Rural (36.92°N),31.6,48000,4,55%,1097,359.96,36.9234,-78.6730,Tier3
244,114,Rural (38.70°N),31.5,48000,2,55%,546,79.29,38.7013,-78.6266,Tier3
245,241,Virginia Beach,31.4,48000,1,69%,346,18.98,36.9118,-76.0194,Tier3
246,85,Rural (38.00°N),31.3,48000,2,54%,541,77.84,37.9978,-78.0231,Tier3
247,277,Charlottesville,30.6,48000,1,64%,319,15.96,38.0507,-78.7050,Tier3
248,80,Rural (37.41°N),30.2,48000,2,51%,514,120.43,37.4074,-76.4120,Tier3
249,220,Fredericksburg,29.3,48000,1,63%,316,16.85,38.2740,-77.3191,Tier3
250,186,Rural (37.67°N),28.3,48000,1,69%,346,66.18,37.6745,-79.5133,Tier3
251,189,Rural (37.85°N),28.1,48000,1,69%,346,129.49,37.8477,-76.6716,Tier3
252,193,Rural (36.98°N),27.0,48000,1,66%,330,21.15,36.9824,-78.2422,Tier3
253,266,Rural (36.95°N),27.0,48000,1,67%,337,92.11,36.9463,-79.0599,Tier3
254,262,Rural (38.48°N),25.0,48000,1,56%,279,15.85,38.4757,-78.9469,Tier3
255,142,Rural (38.97°N),24.8,48000,1,60%,298,18.81,38.9697,-78.0372,Tier3
256,268,Rural (38.99°N),24.7,48000,1,64%,320,26.85,38.9858,-78.4069,Tier3
257,203,Rural (37.40°N),24.5,48000,1,64%,320,72.66,37.3962,-79.6254,Tier3
258,269,Rural (37.64°N),24.3,48000,1,64%,318,100.13,37.6374,-77.0317,Tier3
259,139,Rural (37.72°N),24.0,48000,1,63%,316,216.71,37.7238,-79.7824,Tier3
260,236,Hopewell,24.0,48000,1,63%,316,46.64,37.4725,-77.0829,Tier3
261,191,Rural (38.13°N),23.5,48000,1,63%,313,118.84,38.1335,-76.9782,Tier3
262,132,Rural (37.15°N),23.5,48000,1,62%,312,101.73,37.1483,-78.4327,Tier3
263,265,Rural (36.85°N),23.5,48000,1,62%,312,31.50,36.8534,-78.4713,Tier3
264,135,Rural (37.66°N),22.4,48000,1,61%,304,22.39,37.6615,-76.4532,Tier3
265,238,Rural (38.25°N),22.1,48000,1,60%,302,29.67,38.2491,-78.1638,Tier3
266,125,Rural (36.98°N),21.7,48000,1,60%,300,74.39,36.9834,-78.0753,Tier3
267,201,Charlottesville,21.7,48000,1,60%,299,23.00,37.9750,-78.2735,Tier3
268,133,Rural (36.66°N),20.2,48000,1,58%,289,162.43,36.6599,-77.7674,Tier3
269,181,Henrico,20.2,48000,1,58%,289,52.50,37.7220,-77.1899,Tier3
270,222,Rural (38.29°N),20.0,48000,1,57%,288,28.28,38.2880,-77.0927,Tier3
271,239,Hopewell,18.8,48000,1,56%,280,62.56,37.3575,-77.1216,Tier3
272,190,Rural (38.10°N),18.8,48000,1,56%,278,22.37,38.1011,-76.8227,Tier3
273,205,Rural (37.55°N),18.6,48000,1,56%,278,34.13,37.5522,-76.3234,Tier3
274,161,Rural (37.25°N),18.5,48000,1,56%,278,170.03,37.2484,-77.7772,Tier3
275,207,Rural (38.98°N),18.3,48000,1,55%,275,22.31,38.9847,-77.7461,Tier3
276,138,Rural (37.59°N),18.1,48000,1,55%,274,72.42,37.5851,-79.7891,Tier3
277,202,Rural (37.79°N),17.7,48000,1,54%,272,79.27,37.7871,-78.2470,Tier3
278,129,Rural (37.60°N),17.5,48000,1,54%,271,117.26,37.6012,-78.2039,Tier3
279,229,Lynchburg,17.4,48000,1,54%,270,252.99,37.1382,-79.0772,Tier3
280,230,Lynchburg,17.2,48000,1,54%,268,34.36,37.2792,-79.1762,Tier3
281,208,Rural (38.50°N),16.7,48000,1,53%,264,52.39,38.5024,-78.1554,Tier3
282,136,Colonial Heights,16.7,48000,1,52%,260,21.47,37.3123,-77.5960,Tier3
283,154,Danville,16.5,48000,1,53%,263,89.62,36.8364,-79.4439,Tier3
284,227,Rural (38.66°N),16.2,48000,1,52%,260,30.51,38.6646,-77.8278,Tier3
285,233,Fredericksburg,15.8,48000,1,52%,258,75.10,38.0892,-77.4501,Tier3
286,127,Chesapeake,15.8,48000,1,52%,258,44.45,36.5811,-76.1648,Tier3
287,130,Newport News,15.8,48000,1,52%,258,27.98,36.9896,-76.5293,Tier3
288,143,Rural (38.00°N),15.4,48000,1,51%,256,40.34,38.0000,-78.8586,Tier3
289,204,Rural (38.36°N),15.4,48000,1,51%,256,87.20,38.3634,-78.0454,Tier3
