Rank,Zone_ID,Location,Adjusted_Score,Freshness_Score,Saturation_Pct,Daily_kWh,Census_Blocks,LMI_Pct,Qualifying_HH,Remaining_HH,Area_km2,Latitude,Longitude,Priority
241,240,Richmond,43.8,65,35%,48000,1,52%,258,168,0.93,37.4803,-77.5658,OK
242,256,Fredericksburg,43.4,85,15%,48000,1,52%,260,221,5.29,38.2992,-77.5345,OK
243,146,Manassas,43.1,80,20%,48000,1,52%,262,209,4.55,38.8089,-77.5846,OK
244,166,Fairfax,43.0,65,35%,48000,1,53%,264,172,2.05,38.8308,-77.3099,OK
245,255,Newport News,42.3,75,25%,48000,1,54%,272,204,5.72,37.3176,-76.5225,OK
246,186,Rural,42.0,95,5%,48000,1,69%,346,329,66.18,37.6745,-79.5133,OK
247,189,Rural,41.8,95,5%,48000,1,69%,346,328,129.49,37.8477,-76.6716,OK
248,266,Rural,40.9,95,5%,48000,1,67%,337,320,92.11,36.9463,-79.0599,OK
249,193,Rural,40.9,95,5%,48000,1,66%,330,314,21.15,36.9824,-78.2422,OK
250,277,Charlottesville,40.6,80,20%,48000,1,64%,319,255,15.96,38.0507,-78.7050,OK
251,220,Fredericksburg,40.5,85,15%,48000,1,63%,316,269,16.85,38.2740,-77.3191,OK
252,116,Alexandria,39.4,60,40%,48000,2,58%,580,348,22.42,38.6919,-77.1567,LOW
253,262,Rural,39.2,95,5%,48000,1,56%,279,265,15.85,38.4757,-78.9469,LOW
254,268,Rural,39.1,95,5%,48000,1,64%,320,304,26.85,38.9858,-78.4069,LOW
255,142,Rural,39.1,95,5%,48000,1,60%,298,284,18.81,38.9697,-78.0372,LOW
256,203,Rural,39.0,95,5%,48000,1,64%,320,304,72.66,37.3962,-79.6254,LOW
257,269,Rural,38.8,95,5%,48000,1,64%,318,303,100.13,37.6374,-77.0317,LOW
258,139,Rural,38.6,95,5%,48000,1,63%,316,301,216.71,37.7238,-79.7824,LOW
259,241,Virginia Beach,38.3,65,35%,48000,1,69%,346,225,18.98,36.9118,-76.0194,LOW
260,191,Rural,38.2,95,5%,48000,1,63%,313,297,118.84,38.1335,-76.9782,LOW
261,132,Rural,38.2,95,5%,48000,1,62%,312,297,101.73,37.1483,-78.4327,LOW
262,265,Rural,38.2,95,5%,48000,1,62%,312,296,31.50,36.8534,-78.4713,LOW
263,236,Hopewell,37.6,90,10%,48000,1,63%,316,284,46.64,37.4725,-77.0829,LOW
264,135,Rural,37.3,95,5%,48000,1,61%,304,289,22.39,37.6615,-76.4532,LOW
265,238,Rural,37.1,95,5%,48000,1,60%,302,287,29.67,38.2491,-78.1638,LOW
266,125,Rural,36.8,95,5%,48000,1,60%,300,285,74.39,36.9834,-78.0753,LOW
267,133,Rural,35.6,95,5%,48000,1,58%,289,275,162.43,36.6599,-77.7674,LOW
268,222,Rural,35.5,95,5%,48000,1,57%,288,273,28.28,38.2880,-77.0927,LOW
269,190,Rural,34.5,95,5%,48000,1,56%,278,265,22.37,38.1011,-76.8227,LOW
270,205,Rural,34.4,95,5%,48000,1,56%,278,264,34.13,37.5522,-76.3234,LOW
271,161,Rural,34.3,95,5%,48000,1,56%,278,264,170.03,37.2484,-77.7772,LOW
272,207,Rural,34.1,95,5%,48000,1,55%,275,261,22.31,38.9847,-77.7461,LOW
273,138,Rural,34.0,95,5%,48000,1,55%,274,261,72.42,37.5851,-79.7891,LOW
274,201,Charlottesville,33.8,80,20%,48000,1,60%,299,239,23.00,37.9750,-78.2735,LOW
275,202,Rural,33.7,95,5%,48000,1,54%,272,258,79.27,37.7871,-78.2470,LOW
